year,country,event,gender,name,time
2017,Morocco,1500m,female,Rabab Arrafi,04:01.8
2017,Morocco,1500m,female,Malika Akkaoui,04:03.4
2017,Morocco,1500m,male,Brahim Kaazouzi (Mor),03:34.5
2017,Morocco,1500m,male,Fouad El Kaam (Mor),03:34.9
2017,Morocco,1500m,male,Abdelaati Iguider (Mor),03:35.0
2017,Morocco,1500m,male,Brahim Akachab (Mor),03:35.0
2017,Morocco,3000m Steeplechase,female,Fadwa Sidi Madane,09:24.0
2017,Morocco,3000m Steeplechase,male,Soufiane El Bakkali (Mor),08:04.8
2017,Morocco,3000m Steeplechase,male,Ibrahim Ezzaydouny (Mor),08:18.5
2017,Morocco,3000m Steeplechase,male,Hicham Sigueni (Mor),08:18.8
2017,Morocco,3000m Steeplechase,male,Mohammed Tindoufti (Mor),08:20.3
2017,Morocco,5000m,male,Soufiane El Bakkali (Mor),13:10.6
2017,Morocco,5000m,male,Soufiyan Bouqantar (Mor),13:14.1
2017,New Zealand,10000m,female,Camille Buscomb,31:45.0
2017,New Zealand,1500m,male,Nick Willis (NZ),03:34.7
2017,Norway,1500m,male,Filip Ingebrigtsen (Nor),03:32.5
2017,Norway,3000m Steeplechase,female,Karoline Bjerkeli Grøvdal,09:13.4
2017,Norway,5000m,female,Karoline Bjerkeli Grøvdal,15:00.4
2017,Norway,800m,female,Hedda Hynne,01:59.9
2017,Norway,marathon,male,Sondre Nordstad Moen (Nor),2:05:48
2017,Peru,1500m,male,David Torrence (Per),03:34.7
2017,Poland,1500m,female,Angelika Cichocka,04:01.6
2017,Poland,1500m,female,Sofia Ennaoui,04:03.3
2017,Poland,1500m,male,Marcin Lewandowski (Pol),03:34.0
2017,Poland,800m,female,Angelika Cichocka,01:58.4
2017,Poland,800m,female,Joanna Józwik,01:59.3
2017,Poland,800m,male,Marcin Lewandowski (Pol),01:44.8
2017,Poland,800m,male,Adam Kszczot (Pol),01:44.8
2017,Portugal,marathon,female,Jessica Augusto,2:25:30
2017,Puerto Rico,800m,male,Andres Arroyo (PR),01:45.0
2017,r,3000m Steeplechase,male,Maksim Yakushev (Rus),08:19.2
2017,Republic of Tanzania,10000m,female,Failuna Abdi Matanga,31:47.4
2017,Russia,1500m,female,Aleksandra Gulyayeva,04:04.5
2017,Russia,3000m Steeplechase,female,Yekaterina Sokolenko,09:34.7
2017,Russia,3000m Steeplechase,male,Viktor Bakharev (Rus),08:20.6
2017,Russia,800m,female,Aleksandra Gulyayeva,01:58.3
2017,Russia,800m,female,Svetlana Uloga,01:59.2
2017,Russia,800m,female,Kseniya Savina,02:00.0
2017,Russia,800m,female,Yekaterina Kupina,02:00.3
2017,South Africa,1500m,female,Caster Semenya,04:02.8
2017,South Africa,800m,female,Caster Semenya,01:55.2
2017,Spain,1500m,male,Adel Mechaal (Spa),03:34.7
2017,Spain,3000m Steeplechase,male,Sebastián Martos (Spa),08:20.4
2017,Spain,800m,male,Kevin López (Spa),01:45.0
2017,Spain,800m,male,Álvaro de Arriba (Spa),01:45.1
2017,Sweden,10000m,female,Meraf Bahta,31:13.1
2017,Sweden,1500m,female,Meraf Bahta,04:00.5
2017,Sweden,800m,female,Lovisa Lindh,01:58.8
2017,Sweden,800m,male,Andreas Kramer (Swe),01:45.1
2017,Switzerland,3000m Steeplechase,female,Fabienne Schlumpf,09:21.7
2017,Switzerland,800m,female,Selina Büchel,01:59.5
2017,Tansania,5000m,male,Emanuel Gniki (Tan),13:13.2
2017,Tunisia,3000m Steeplechase,female,Habiba Ghribi,09:20.0
2017,Turkey,10000m,female,Yasemin Can,31:18.2
2017,Turkey,10000m,male,Kaan Kigen Özbilen (Tur),27:42.0
2017,Turkey,10000m,male,Polat Kemboi Arikan (Tur),27:42.6
2017,Turkey,3000m Steeplechase,female,Tugba Güvenç,09:26.1
2017,Turkey,5000m,female,Yasemin Can,14:36.8
2017,Uganda,10000m,female,Mercyline Chelangat,31:40.5
2017,Uganda,10000m,female,Juliet Chekwel,31:43.4
2017,Uganda,10000m,male,Joshua Cheptegei (Uga),26:49.9
2017,Uganda,10000m,male,Timothy Toroitich (Uga),27:21.1
2017,Uganda,10000m,male,Moses Kurong (Uga),27:22.3
2017,Uganda,10000m,male,Sam Cherop (Uga),27:39.5
2017,Uganda,10000m,male,Abdallah Mande (Uga),27:46.3
2017,Uganda,1500m,male,Ronald Musagala (Uga),03:33.6
2017,Uganda,3000m Steeplechase,female,Peruth Chemutai,09:27.7
2017,Uganda,3000m Steeplechase,male,Jacob Araptany (Uga),08:21.9
2017,Uganda,3000m Steeplechase,male,Albert Chemutai (Uga),08:23.2
2017,Uganda,5000m,male,Joshua Cheptegei (Uga),12:59.8
2017,Uganda,5000m,male,Stephen Kissa (Uga),13:13.0
2017,Uganda,5000m,male,Jacob Kiplimo (Uga),13:13.6
2017,Uganda,800m,female,Winnie Nanyondo,02:00.2
2017,Uganda,marathon,male,Stephen Kiprotich (Uga),2:07:10
2017,Ukraine,800m,female,Nataliya Pryshchepa,01:58.8
2017,Ukraine,800m,female,Olha Lyakhova,01:59.8
2017,United Arab Emirates,10000m,female,Alia Mohamed Saeed,31:49.0
2017,United Arab Emirates,5000m,female,Alia Mohamed Saeed,15:00.4
2017,United Kingdom,10000m,female,Katrina Wootton,31:45.6
2017,United Kingdom,10000m,male,Mo Farah (GB),26:49.5
2017,United Kingdom,1500m,female,Laura Muir,04:00.3
2017,United Kingdom,1500m,female,Laura Weightman,04:00.7
2017,United Kingdom,1500m,female,Eilish McColgan,04:01.6
2017,United Kingdom,1500m,female,Jessica Judd,04:03.7
2017,United Kingdom,1500m,male,Chris O’Hare (GB),03:33.6
2017,United Kingdom,1500m,male,Jake Wightman (GB),03:34.2
2017,United Kingdom,1500m,male,Mo Farah (GB),03:34.2
2017,United Kingdom,3000m Steeplechase,female,Rosie Clarke,09:32.1
2017,United Kingdom,5000m,female,Eilish McColgan,14:48.5
2017,United Kingdom,5000m,female,Laura Muir,14:49.1
2017,United Kingdom,5000m,male,Mo Farah (GB),13:00.7
2017,United Kingdom,5000m,male,Andrew Butchart (GB),13:11.4
2017,United Kingdom,800m,female,Lynsey Sharp,01:58.0
2017,United Kingdom,800m,female,Laura Muir,01:58.7
2017,United Kingdom,800m,female,Shelayna Oskan-Clarke,01:59.8
2017,United Kingdom,800m,female,Adelle Tracey,02:00.3
2017,United Kingdom,800m,male,Elliot Giles (GB),01:45.0
2017,United Kingdom,800m,male,Guy Learmonth (GB),01:45.1
2017,United States Of America,10000m,female,Amy Cragg,31:17.2
2017,United States Of America,10000m,female,Molly Huddle,31:19.9
2017,United States Of America,10000m,female,Emily Infeld,31:20.4
2017,United States Of America,10000m,female,Emily Sisson,31:25.6
2017,United States Of America,10000m,female,Shalane Flanagan,31:31.1
2017,United States Of America,10000m,female,Kim Conley,31:35.9
2017,United States Of America,10000m,female,Natosha Rogers,31:54.6
2017,United States Of America,10000m,male,Shadrack Kipchirchir (US),27:07.6
2017,United States Of America,10000m,male,Leonard Korir (US),27:20.2
2017,United States Of America,10000m,male,Hassan Mead (US),27:32.5
2017,United States Of America,10000m,male,Biya Simbassa (US),27:45.8
2017,United States Of America,1500m,female,Jenny Simpson,04:00.7
2017,United States Of America,1500m,female,Brenda Martinez,04:02.8
2017,United States Of America,1500m,female,Kate Grace,04:03.6
2017,United States Of America,1500m,female,Colleen Quigley,04:03.9
2017,United States Of America,1500m,female,Amanda Eccleston,04:04.3
2017,United States Of America,1500m,female,Shannon Rowbury,04:04.6
2017,United States Of America,1500m,female,Sara Vaughn,04:04.6
2017,United States Of America,1500m,female,Stephanie Garcia,04:04.6
2017,United States Of America,1500m,female,Alexa Efraimson,04:04.7
2017,United States Of America,1500m,male,Matthew Centrowitz (US),03:33.4
2017,United States Of America,1500m,male,Johnny Gregorek (US),03:35.0
2017,United States Of America,1500m,male,Robby Andrews (US),03:35.3
2017,United States Of America,3000m Steeplechase,female,Emma Coburn,09:02.6
2017,United States Of America,3000m Steeplechase,female,Courtney Frerichs,09:03.8
2017,United States Of America,3000m Steeplechase,female,Colleen Quigley,09:16.0
2017,United States Of America,3000m Steeplechase,female,Stephanie Garcia,09:25.0
2017,United States Of America,3000m Steeplechase,female,Marisa Howard,09:30.9
2017,United States Of America,3000m Steeplechase,female,Leah O’Connor,09:31.6
2017,United States Of America,3000m Steeplechase,female,Mel Lawrence,09:34.9
2017,United States Of America,3000m Steeplechase,male,Evan Jager (US),08:01.3
2017,United States Of America,3000m Steeplechase,male,Stanley Kebenei (US),08:08.3
2017,United States Of America,3000m Steeplechase,male,Hillary Bor (US),08:11.8
2017,United States Of America,3000m Steeplechase,male,Andy Bayer (US),08:14.5
2017,United States Of America,5000m,female,Emily Infeld,14:56.3
2017,United States Of America,5000m,female,Shannon Rowbury,14:57.6
2017,United States Of America,5000m,female,Shalane Flanagan,14:59.0
2017,United States Of America,5000m,female,Shelby Houlihan,15:00.4
2017,United States Of America,5000m,female,Molly Huddle,15:01.6
2017,United States Of America,5000m,female,Emily Sisson,15:02.1
2017,United States Of America,5000m,male,Eric Jenkins (US),13:05.9
2017,United States Of America,5000m,male,Ben True (US),13:06.7
2017,United States Of America,5000m,male,Ryan Hill (US),13:07.6
2017,United States Of America,5000m,male,Paul Chelimo (US),13:08.6
2017,United States Of America,5000m,male,Hassan Mead (US),13:11.2
2017,United States Of America,5000m,male,Woody Kincaid (US),13:12.2
2017,United States Of America,5000m,male,Lopez Lomong (US),13:12.3
2017,United States Of America,800m,female,Ajee’ Wilson,01:55.6
2017,United States Of America,800m,female,Charlene Lipsey,01:57.4
2017,United States Of America,800m,female,Brenda Martinez,01:58.4
2017,United States Of America,800m,female,Raevyn Rogers,01:59.1
2017,United States Of America,800m,female,Kate Grace,01:59.3
2017,United States Of America,800m,female,Laura Roesler,01:59.5
2017,United States Of America,800m,female,Chrishuna Williams,02:00.0
2017,United States Of America,800m,male,Clayton Murphy (US),01:43.6
2017,United States Of America,800m,male,Donavan Brazier (US),01:44.0
2017,United States Of America,800m,male,Isaiah Harris (US),01:44.5
2017,United States Of America,800m,male,Drew Windle (US),01:44.6
2017,United States Of America,800m,male,Erik Sowinski (US),01:44.7
2017,United States Of America,800m,male,Jesse Garn (US),01:45.0
2017,United States Of America,marathon,female,Jordan Hasay,2:20:57
2018,Albania,3000m Steeplechase,female,Luiza Gega,09:22.0
2018,Australia,10000m,female,Celia Sullohern,31:50.8
2018,Australia,10000m,female,Madeline Hills,32:01.0
2018,Australia,1500m,female,Linden Hall,04:00.9
2018,Australia,1500m,female,Georgia Griffith,04:04.2
2018,Australia,1500m,male,Ryan Gregson (Aus),03:34.4
2018,Australia,1500m,male,Stewart McSweyn (Aus),03:34.8
2018,Australia,1500m,male,Jordan Williamsz (Aus),03:36.3
2018,Australia,3000m Steeplechase,female,Genevieve LaCaze,09:23.7
2018,Australia,5000m,female,Madeline Hills,15:06.2
2018,Australia,5000m,male,Stewart McSweyn (Aus),13:05.2
2018,Australia,5000m,male,Brett Robinson (Aus),13:15.9
2018,Australia,5000m,male,Morgan McDonald (Aus),13:19.1
2018,Australia,5000m,male,David McNeill (Aus),13:19.5
2018,Australia,800m,female,Georgia Griffith (Aus),02:00.1
2018,Australia,800m,female,Brittany McGowan,02:00.2
2018,Australia,800m,male,Joseph Deng (Aus),01:44.2
2018,Australia,800m,male,Peter Bol (Aus),01:44.6
2018,Australia,800m,male,Luke Mathews (Aus),01:45.6
2018,Bahrain,10000m,female,Eunice Chumba,32:11.1
2018,Bahrain,10000m,male,Hassan Chani (Bhr),27:38.2
2018,Bahrain,1500m,male,Sadik Mikhou (Bhr),03:34.5
2018,Bahrain,3000m Steeplechase,female,Winfred Yavi,09:10.7
2018,Bahrain,3000m Steeplechase,male,John Koech (Bhr),08:22.0
2018,Bahrain,5000m,female,Kalkidan Gezahegne,15:08.1
2018,Bahrain,5000m,male,Birhanu Yemataw (Bhr),13:01.1
2018,Bahrain,5000m,male,Albert Rop (Bhr),13:11.8
2018,Bahrain,marathon,female,Mimi Belete,2:22:29
2018,Bahrain,marathon,female,Desi Jisa Mokonin,2:23:39
2018,Bahrain,marathon,male,El Hassan El Abbassi (Bhr),2:04:43
2018,Belarus,10000m,male,Soufiane Bouchikhi (Bel),27:41.2
2018,Belarus,1500m,female,Elise Vanderelst,04:05.7
2018,Belarus,1500m,male,Ismael Debjani (Bel),03:34.4
2018,Belarus,5000m,male,Bashir Abdi (Bel),13:04.9
2018,Belarus,5000m,male,Soufiane Bouchikhi (Bel),13:19.6
2018,Benin,800m,female,Noélie Yarigo,02:00.1
2018,Botswana,800m,male,Nijel Amos (Bot),01:42.1
2018,Brazil,1500m,male,Thiago André (Bra),03:35.4
2018,Brazil,800m,male,Thiago André (Bra),01:45.1
2018,Burkina Faso,800m,female,Francine Niyonsaba,01:55.9
2018,Burkina Faso,800m,male,Antoine Gakeme (Bur),01:45.1
2018,Canada,10000m,female,Natasha Wodak,31:50.2
2018,Canada,10000m,female,Rachel Cliff,31:56.9
2018,Canada,10000m,male,Mo Ahmed (Can),27:20.6
2018,Canada,1500m,female,Gabriela Stafford,04:05.8
2018,Canada,1500m,male,Justyn Knight (Can),03:36.1
2018,Canada,3000m Steeplechase,female,Geneviève Lalonde,09:35.2
2018,Canada,3000m Steeplechase,female,Regan Yee,09:37.3
2018,Canada,3000m Steeplechase,male,Matt Hughes (Can),08:12.3
2018,Canada,5000m,female,Andrea Seccafien,15:15.4
2018,Canada,5000m,female,Kate Van Buskirk,15:16.3
2018,Canada,5000m,male,Mo Ahmed (Can),13:03.1
2018,Canada,5000m,male,Justyn Knight (Can),13:18.7
2018,Canada,800m,male,Brandon McBride (Can),01:43.2
2018,Canada,800m,male,Marco Arop (Can),01:45.3
2018,China,10000m,female,Deshun Zhang,32:12.8
2018,Cuba,800m,female,Rose M. Almanza,02:00.2
2018,Czech Republic,1500m,female,Simona Vrzalová,04:04.8
2018,Czech Republic,1500m,male,Jakub Holuša (CzR),03:32.5
2018,Czech Republic,800m,male,Filip Šnejdr (CzR),01:45.6
2018,Denmark,3000m Steeplechase,female,Anna Emilie Møller,09:31.7
2018,Djibouti,1500m,male,Ayanleh Souleiman (Dji),03:31.2
2018,Djibouti,1500m,male,Youssouf Hiss Bachir (Dji),03:35.7
2018,Djibouti,3000m Steeplechase,male,Mohamed Ismail Ibrahim (Dji),08:23.7
2018,Eritrea,10000m,male,Awet Habte (Eri),27:48.3
2018,Eritrea,3000m Steeplechase,male,Yemane Hailesilassie (Eri),08:19.6
2018,Eritrea,5000m,female,Weini Kelati,15:15.2
2018,Eritrea,5000m,male,Aron Kifle (Eri),13:07.6
2018,Ethiopia,10000m,female,Gete Alemayehu,31:45.3
2018,Ethiopia,10000m,male,Tulu Merga (Eth),27:25.9
2018,Ethiopia,10000m,male,Biyazen Alehegn (Eth),27:43.6
2018,Ethiopia,10000m,male,Teressa Nyakora (Eth),27:44.7
2018,Ethiopia,10000m,male,Berihu Aregawi (Eth),27:48.4
2018,Ethiopia,10000m,male,Nyakora Teressa (Eth),27:52.7
2018,Ethiopia,1500m,female,Genzebe Dibaba,03:56.7
2018,Ethiopia,1500m,female,Gudaf Tsegay,03:57.6
2018,Ethiopia,1500m,female,Habitam Alemu,04:01.4
2018,Ethiopia,1500m,female,Besu Sado,04:01.8
2018,Ethiopia,1500m,female,Alemaz Teshale,04:01.8
2018,Ethiopia,1500m,female,Axumawit Embaye,04:02.4
2018,Ethiopia,1500m,female,Dawit Seyaum,04:02.8
2018,Ethiopia,1500m,female,Taye Fantu,04:06.0
2018,Ethiopia,1500m,male,Samuel Tefera (Eth),03:31.6
2018,Ethiopia,1500m,male,Aman Wote (Eth),03:31.9
2018,Ethiopia,1500m,male,Yomif Kejelcha (Eth),03:32.6
2018,Ethiopia,1500m,male,Taresa Tolosa (Eth),03:35.1
2018,Ethiopia,3000m Steeplechase,female,Woynshet Ansa,09:27.0
2018,Ethiopia,3000m Steeplechase,male,Chala Beyo (Eth),08:07.3
2018,Ethiopia,3000m Steeplechase,male,Tesfaye Deriba (Eth),08:17.5
2018,Ethiopia,3000m Steeplechase,male,Hailemariyam Amare (Eth),08:21.2
2018,Ethiopia,3000m Steeplechase,male,Tafese Soboka (Eth),08:21.3
2018,Ethiopia,3000m Steeplechase,male,Getnet Wale (Eth),08:22.7
2018,Ethiopia,3000m Steeplechase,male,Tolosa Nurgi (Eth),08:23.8
2018,Ethiopia,3000m Steeplechase,male,Takele Nigate (Eth),08:25.4
2018,Ethiopia,5000m,female,Letesenbet Gidey,14:23.1
2018,Ethiopia,5000m,female,Senbere Teferi,14:23.3
2018,Ethiopia,5000m,female,Genzebe Dibaba,14:26.9
2018,Ethiopia,5000m,female,Gudaf Tsegay,14:51.3
2018,Ethiopia,5000m,female,Meskerem Mamo,15:05.2
2018,Ethiopia,5000m,female,Aberash Minsewo,15:07.9
2018,Ethiopia,5000m,male,Selemon Barega (Eth),12:43.0
2018,Ethiopia,5000m,male,Hagos Gebrhiwet (Eth),12:45.8
2018,Ethiopia,5000m,male,Yomif Kejelcha (Eth),12:46.8
2018,Ethiopia,5000m,male,Muktar Edris (Eth),12:55.2
2018,Ethiopia,5000m,male,Abadi Hadis (Eth),12:56.3
2018,Ethiopia,5000m,male,Getaneh Tamire (Eth),12:59.6
2018,Ethiopia,5000m,male,Telahun Haile (Eth),13:04.6
2018,Ethiopia,5000m,male,Regasa Chala (Eth),13:07.0
2018,Ethiopia,5000m,male,Nibret Melak (Eth),13:07.3
2018,Ethiopia,5000m,male,Dawit Wolde (Eth),13:10.6
2018,Ethiopia,5000m,male,Biyazen Alehegn (Eth),13:13.4
2018,Ethiopia,5000m,male,Getnet Wale (Eth),13:13.9
2018,Ethiopia,5000m,male,Berihu Aregawi (Eth),13:15.4
2018,Ethiopia,5000m,male,Solomon Berihu (Eth),13:16.8
2018,Ethiopia,5000m,male,Haymanot Alewe (Eth),13:18.7
2018,Ethiopia,800m,female,Habitam Alemu,01:56.7
2018,Ethiopia,800m,female,Diribe Welteji,01:59.7
2018,Ethiopia,800m,female,Mahelet Mulugeta,01:59.8
2018,Ethiopia,800m,female,Chaltu Shume,02:00.0
2018,Ethiopia,800m,female,Tola Kore,02:00.2
2018,Ethiopia,800m,male,Tolesa Bodena (Eth),01:45.6
2018,Ethiopia,marathon,female,Ruti Aga,2:18:34
2018,Ethiopia,marathon,female,Tirunesh Dibaba,2:18:55
2018,Ethiopia,marathon,female,Roza Dereje,2:19:17
2018,Ethiopia,marathon,female,Feyse Tadesse,2:19:30
2018,Ethiopia,marathon,female,Yebrqual Melese,2:19:36
2018,Ethiopia,marathon,female,Berhane Dibaba,2:19:51
2018,Ethiopia,marathon,female,Worknesh Degefa,2:19:53
2018,Ethiopia,marathon,female,Haftamnesh Tesfay,2:20:13
2018,Ethiopia,marathon,female,Meskerem Assefa,2:20:36
2018,Ethiopia,marathon,female,Gelete Burka,2:20:45
2018,Ethiopia,marathon,female,Ashete Bekele,2:21:14
2018,Ethiopia,marathon,female,Bedatu Hirpa,2:21:32
2018,Ethiopia,marathon,female,Tadelech Bekele,2:21:40
2018,Ethiopia,marathon,female,Dera Dida,2:21:45
2018,Ethiopia,marathon,female,Azmera Abreha,2:21:51
2018,Ethiopia,marathon,female,Belaynesh Oljira,2:21:53
2018,Ethiopia,marathon,female,Shure Demise,2:22:07
2018,Ethiopia,marathon,female,Marta Lema,2:22:35
2018,Ethiopia,marathon,female,Sintayehu Hailemichael,2:22:45
2018,Ethiopia,marathon,female,Helen Tola,2:22:48
2018,Ethiopia,marathon,female,Gulume Tollesa,2:23:06
2018,Ethiopia,marathon,female,Shasho Insermu,2:23:28
2018,Ethiopia,marathon,female,Azmera Gebru,2:23:31
2018,Ethiopia,marathon,female,Dibabe Kuma,2:23:34
2018,Ethiopia,marathon,female,Tinbit Weldegebril,2:23:37
2018,Ethiopia,marathon,female,Rahma Tusa,2:23:46
2018,Ethiopia,marathon,female,Afera Godfay,2:23:54
2018,Ethiopia,marathon,female,Hirut Tibebu,2:24:08
2018,Ethiopia,marathon,male,Mosinet Geremew (Eth),2:04:00
2018,Ethiopia,marathon,male,Leul Gebrselassie (Eth),2:04:02
2018,Ethiopia,marathon,male,Asefa Mengistu (Eth),2:04:06
2018,Ethiopia,marathon,male,Tamirat Tola (Eth),2:04:06
2018,Ethiopia,marathon,male,Sisay Lemma (Eth),2:04:08
2018,Ethiopia,marathon,male,Berhanu Legesse (Eth),2:04:15
2018,Ethiopia,marathon,male,Mule Wasihun (Eth),2:04:37
2018,Ethiopia,marathon,male,Solomon Deksisa (Eth),2:04:40
2018,Ethiopia,marathon,male,Abdiwak Tura (Eth),2:04:44
2018,Ethiopia,marathon,male,Tola Shura (Eth),2:04:49
2018,Ethiopia,marathon,male,Tsegaye Kebede (Eth),2:05:21
2018,Ethiopia,marathon,male,Abera Kuma (Eth),2:05:50
2018,Ethiopia,marathon,male,Kelkile Gezahegn (Eth),2:05:56
2018,Ethiopia,marathon,male,Lelisa Desisa (Eth),2:05:59
2018,Ethiopia,marathon,male,Tadu Abate (Eth),2:06:47
2018,Ethiopia,marathon,male,Yitayal Atnafu (Eth),2:07:00
2018,France,10000m,male,Morhad Amdouni (Fra),27:36.8
2018,France,10000m,male,Francois Barrer (Fra),27:56.0
2018,France,3000m Steeplechase,female,Ophélie Claude-Boxberger,09:31.8
2018,France,3000m Steeplechase,female,Emma Oudiou,09:36.2
2018,France,3000m Steeplechase,male,Mahiedine Mekhissi (Fra),08:17.0
2018,France,3000m Steeplechase,male,Djilali Bedrani (Fra),08:20.5
2018,France,5000m,male,Morhad Amdouni (Fra),13:19.1
2018,France,800m,female,Renelle Lamote,01:58.8
2018,France,800m,female,Claudia Saunders,02:00.5
2018,France,800m,female,Cinthia Anais,02:00.6
2018,France,800m,male,Pierre-Ambroise Bosse (Fra),01:44.2
2018,Germany,10000m,male,Richard Ringer (Ger),27:36.5
2018,Germany,1500m,female,Konstanze Klosterhalfen,04:04.0
2018,Germany,1500m,female,Diana Sujew,04:05.9
2018,Germany,1500m,male,Homiyu Tesfaye (Ger),03:36.0
2018,Germany,3000m Steeplechase,female,Gesa-Felicitas Krause,09:19.8
2018,Germany,3000m Steeplechase,female,Elena Burkard,09:29.8
2018,Germany,3000m Steeplechase,female,Jana Sussmann,09:36.3
2018,Germany,3000m Steeplechase,female,Antje Möldner-Schmidt,09:39.3
2018,Germany,3000m Steeplechase,male,Martin Grau (Ger),08:26.2
2018,Germany,5000m,female,Konstanze Klosterhalfen,15:03.7
2018,Germany,5000m,female,Elena Burkard,15:12.2
2018,Germany,800m,female,Christina Hering,02:00.5
2018,Germany,800m,male,Marc Reuther (Ger),01:45.4
2018,Hungary,3000m Steeplechase,female,Viktória Gyürkés,09:35.4
2018,India,3000m Steeplechase,female,Sudha Singh,09:39.6
2018,India,800m,male,Jinson Johnson (Ind),01:45.7
2018,Iran,3000m Steeplechase,male,Hossein Keyhani (Irn),08:22.8
2018,Ireland,1500m,female,Ciara Mageean,04:04.1
2018,Israel,10000m,female,Lonah Chemtai Salpeter,31:33.0
2018,Israel,3000m Steeplechase,female,Adva Cohen,09:29.7
2018,Italy,10000m,male,Yemaneberhan Crippa (Ita),27:44.2
2018,Italy,3000m Steeplechase,female,Isabel Mattuzzi,09:34.0
2018,Italy,3000m Steeplechase,male,Ahmed Abdelwahed (Ita),08:26.0
2018,Italy,5000m,male,Yemaneberhan Crippa (Ita),13:18.8
2018,Jamaica,1500m,female,Aisha Praught Leer,04:04.9
2018,Jamaica,3000m Steeplechase,female,Aisha Praught Leer,09:14.1
2018,Jamaica,800m,female,Natoya Goule,01:56.2
2018,Jamaica,800m,female,Simoya Campbell,02:00.6
2018,Japan,10000m,female,Mizuki Matsuda,31:52.4
2018,Japan,10000m,female,Ayuko Suzuki,31:57.8
2018,Japan,10000m,female,Mao Ichiyama,31:57.9
2018,Japan,10000m,female,Yuka Hori,32:05.5
2018,Japan,10000m,female,Keiko Nogami,32:07.7
2018,Japan,10000m,female,Harumi Okamoto,32:08.6
2018,Japan,10000m,female,Yukari Abe,32:13.8
2018,Japan,10000m,female,Honami Maeda,32:13.9
2018,Japan,10000m,female,Kaori Morita,32:15.1
2018,Japan,10000m,female,Ayumi Hagiwara,32:15.5
2018,Japan,10000m,male,Tetsuya Yoroizaka (Jpn),27:55.9
2018,Japan,10000m,male,Hiroto Inoue (Jpn),27:56.3
2018,Japan,10000m,male,Hiroki Abe (Jpn),27:56.4
2018,Japan,5000m,female,Rina Nabeshima,15:10.9
2018,Japan,marathon,female,Mizuki Matsuda,2:22:23
2018,Japan,marathon,female,Hanami Sekine,2:23:07
2018,Japan,marathon,female,Honami Maeda,2:23:48
2018,Japan,marathon,male,Suguru Osako (Jpn),2:05:50
2018,Japan,marathon,male,Yuta Shitara (Jpn),2:06:11
2018,Japan,marathon,male,Hirohito Inoue (Jpn),2:06:54
2018,Kenya,10000m,female,Pauline Kamulu,30:41.9
2018,Kenya,10000m,female,Stacy Ndiwa,31:31.2
2018,Kenya,10000m,female,Alice Nawowuna,31:36.1
2018,Kenya,10000m,female,Gloria Kite,31:41.5
2018,Kenya,10000m,female,Beatrice Mutai,31:49.8
2018,Kenya,10000m,female,Pauline Korikwiang,31:51.1
2018,Kenya,10000m,female,Rosemary Wanjiru,31:57.7
2018,Kenya,10000m,female,Grace Kimanzi,32:02.4
2018,Kenya,10000m,female,Sharon Lokedi,32:09.2
2018,Kenya,10000m,female,Dorcas Wasike,32:11.8
2018,Kenya,10000m,female,Sandra Tuei,32:11.9
2018,Kenya,10000m,female,Joyciline Jepkosgei,32:17.0
2018,Kenya,10000m,male,Stanley Mburu Waithaka (Ken),27:13.0
2018,Kenya,10000m,male,Richard Yator (Ken),27:14.7
2018,Kenya,10000m,male,Rhonex Kipruto (Ken),27:21.1
2018,Kenya,10000m,male,Benard Kimeli (Ken),27:26.3
2018,Kenya,10000m,male,Jonathan Ndiku (Ken),27:28.3
2018,Kenya,10000m,male,Rodgers Chumo (Ken),27:28.7
2018,Kenya,10000m,male,Daniel Kipkemoi (Ken),27:30.5
2018,Kenya,10000m,male,Bernard Koech (Ken),27:31.8
2018,Kenya,10000m,male,Amos Kurgat (Ken),27:32.0
2018,Kenya,10000m,male,Wesley Ledama (Ken),27:41.1
2018,Kenya,10000m,male,Alexander Mutiso (Ken),27:42.2
2018,Kenya,10000m,male,Josphat Ledama (Ken),27:43.5
2018,Kenya,10000m,male,Dominic Lagat (Ken),27:44.3
2018,Kenya,10000m,male,Abraham Kipyatich (Ken),27:44.9
2018,Kenya,10000m,male,Joel Mwaura (Ken),27:45.3
2018,Kenya,10000m,male,Nicholas Kosimbei (Ken),27:49.5
2018,Kenya,10000m,male,Joseph Macharia Ndirangu (Ken),27:50.0
2018,Kenya,10000m,male,Ronald Kwemoi (Ken),27:51.0
2018,Kenya,10000m,male,Davis Kiplangat (Ken),27:51.2
2018,Kenya,10000m,male,Andrew Lorot (Ken),27:52.4
2018,Kenya,10000m,male,Kiprono Sitonik (Ken),27:53.6
2018,Kenya,10000m,male,Simon Kariuki (Ken),27:56.0
2018,Kenya,1500m,female,Hellen Obiri,03:58.9
2018,Kenya,1500m,female,Winny Chebet,04:00.6
2018,Kenya,1500m,female,Nelly Jepkosgei,04:01.0
2018,Kenya,1500m,female,Beatrice Chepkoech,04:02.2
2018,Kenya,1500m,female,Judy Kiyeng,04:03.9
2018,Kenya,1500m,female,Eunice Sum,04:05.4
2018,Kenya,1500m,female,Mary Kuria,04:05.9
2018,Kenya,1500m,male,George Manangoi (Ken),03:35.5
2018,Kenya,1500m,male,Timothy Cheruiyot (Ken),03:28.4
2018,Kenya,1500m,male,Elijah Manangoi (Ken),03:29.6
